Organisation Code;Organisation Name;All Procedures - Total HES Procedures;All Procedures - Total Pre-Op Qs;All Procedures - Participation Rate;All Procedures - Total Linked;All Procedures - Linkage rate;All Procedures - Total Q2s sent to date;All Procedures - Issue rate;All Procedures - Total Q2s returned to date;All Procedures - Response rate;Hip Replacement - Total HES Procedures;Hip Replacement - Total Pre-Op Qs;Hip Replacement - Participation Rate;Hip Replacement - Total Linked;Hip Replacement - Linkage rate;Hip Replacement - Total Q2s sent to date;Hip Replacement - Issue rate;Hip Replacement - Total Q2s returned to date;Hip Replacement - Response rate;Primary Hip Replacement - Total HES Procedures;Primary Hip Replacement - Total Pre-Op Qs;Primary Hip Replacement - Participation Rate;Primary Hip Replacement - Total Linked;Primary Hip Replacement - Linkage rate;Primary Hip Replacement - Total Q2s sent to date;Primary Hip Replacement - Issue rate;Primary Hip Replacement - Total Q2s returned to date;Primary Hip Replacement - Response rate;Revision Hip Replacement - Total HES Procedures;Revision Hip Replacement - Total Pre-Op Qs;Revision Hip Replacement - Participation Rate;Revision Hip Replacement - Total Linked;Revision Hip Replacement - Linkage rate;Revision Hip Replacement - Total Q2s sent to date;Revision Hip Replacement - Issue rate;Revision Hip Replacement - Total Q2s returned to date;Revision Hip Replacement - Response rate;Knee Replacement - Total HES Procedures;Knee Replacement - Total Pre-Op Qs;Knee Replacement - Participation Rate;Knee Replacement - Total Linked;Knee Replacement - Linkage rate;Knee Replacement - Total Q2s sent to date;Knee Replacement - Issue rate;Knee Replacement - Total Q2s returned to date;Knee Replacement - Response rate;Primary Knee Replacement - Total HES Procedures;Primary Knee Replacement - Total Pre-Op Qs;Primary Knee Replacement - Participation Rate;Primary Knee Replacement - Total Linked;Primary Knee Replacement - Linkage rate;Primary Knee Replacement - Total Q2s sent to date;Primary Knee Replacement - Issue rate;Primary Knee Replacement - Total Q2s returned to date;Primary Knee Replacement - Response rate;Revision Knee Replacement - Total HES Procedures;Revision Knee Replacement - Total Pre-Op Qs;Revision Knee Replacement - Participation Rate;Revision Knee Replacement - Total Linked;Revision Knee Replacement - Linkage rate;Revision Knee Replacement - Total Q2s sent to date;Revision Knee Replacement - Issue rate;Revision Knee Replacement - Total Q2s returned to date;Revision Knee Replacement - Response rate;CSVYear
NT3X3;SPIRE ST ANTHONY'S HOSPITAL;0;0;0.0;0;0.0;0;0.0;0;0.0;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2016/17
NT3X3;SPIRE ST ANTHONY'S HOSPITAL;13;0;0.0;0;0.0;0;0.0;0;0.0;7;*;*;0;*;*;*;*;*;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;*;*;0;*;*;*;*;*;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2017/18
NT3X3;SPIRE ST ANTHONY'S HOSPITAL;44;49;11.136.364;35;0.7142857;18;0.3673469;18;1.0;22;29;13.181.818;18;0.6206897;12;0.4137931;12;1;22;18;0.8181818;18;1;9;0.5;9;1;0;0;0;0;0;0;0;0;0;22;20;0.9090909;17;0.85;6;0.3;6;1;22;17;0.7727273;17;1;5;0.2941176;5;1;0;0;0;0;0;0;0;0;0;2018/19
NT309;SPIRE SUSSEX HOSPITAL;241;157;0.6514523;144;0.9171975;136;0.866242;112;0.8235294;119;59;0.4957983;57;0.9661017;54;0.9152542;48;0.8888889;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;122;98;0.8032787;87;0.8877551;82;0.8367347;64;0.7804878;*;87;0.7435897;*;1;74;0.8505747;60;0.8108108;*;0;*;0;0;0;0;0;0;2016/17
NT309;SPIRE SUSSEX HOSPITAL;265;105;0.3962264;95;0.9047619;48;0.4571429;48;1.0;136;56;0.4117647;53;0.9464286;29;0.5178571;29;1;*;53;*;53;1;26;0.490566;26;1;*;0;*;0;0;0;0;0;0;129;49;0.379845;42;0.8571429;19;0.3877551;19;1;129;42;0.3255814;42;1;17;0.4047619;17;1;0;0;0;0;0;0;0;0;0;2017/18
NT309;SPIRE SUSSEX HOSPITAL;236;229;0.970339;197;0.860262;105;0.4585153;105;1.0;107;100;0.9345794;84;0.84;44;0.44;44;1;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;129;129;1;113;0.875969;61;0.4728682;61;1;*;*;*;*;*;*;0.5446429;*;1;*;*;*;*;*;0;*;0;*;2018/19
NT343;SPIRE THAMES VALLEY HOSPITAL;25;17;0.68;15;0.8823529;13;0.7647059;13;1.0;12;6;0.5;5;0.8333333;3;0.5;3;1;12;*;*;*;*;*;*;*;*;0;0;0;0;0;0;0;0;0;13;11;0.8461538;10;0.9090909;10;0.9090909;10;1;13;10;0.7692308;10;1;9;0.9;9;1;0;0;0;0;0;0;0;0;0;2016/17
NT343;SPIRE THAMES VALLEY HOSPITAL;50;19;0.38;12;0.6315789;9;0.4736842;9;1.0;24;12;0.5;7;0.5833333;5;0.4166667;5;1;24;7;0.2916667;7;1;3;0.4285714;3;1;0;0;0;0;0;0;0;0;0;26;7;0.2692308;5;0.7142857;4;0.5714286;4;1;26;*;*;*;*;*;*;*;*;0;0;0;0;0;0;0;0;0;2017/18
NT343;SPIRE THAMES VALLEY HOSPITAL;36;22;0.6111111;19;0.8636364;8;0.3636364;8;1.0;13;8;0.6153846;7;0.875;4;0.5;4;1;13;7;0.5384615;7;1;4;0.5714286;4;1;0;0;0;0;0;0;0;0;0;23;14;0.6086957;12;0.8571429;4;0.2857143;4;1;23;12;0.5217391;12;1;4;0.3333333;4;1;0;0;0;0;0;0;0;0;0;2018/19
NT310;SPIRE TUNBRIDGE WELLS HOSPITAL;24;119;49.583.333;8;0.0672269;108;0.907563;85;0.787037;13;58;44.615.385;4;0.0689655;56;0.9655172;45;0.8035714;*;*;*;*;*;*;*;*;*;*;0;*;0;0;0;0;0;0;11;61;55.454.545;4;0.0655738;52;0.852459;40;0.7692308;11;*;*;*;*;*;*;*;*;0;0;0;0;0;0;0;0;0;2016/17
NT310;SPIRE TUNBRIDGE WELLS HOSPITAL;77;37;0.4805195;32;0.8648649;11;0.2972973;11;1.0;34;19;0.5588235;18;0.9473684;8;0.4210526;8;1;*;*;*;*;*;7;*;7;*;*;*;*;*;*;0;*;0;*;43;18;0.4186047;14;0.7777778;3;0.1666667;3;1;*;*;*;*;*;*;0.2307692;*;1;*;*;*;*;*;0;*;0;*;2017/18
NT310;SPIRE TUNBRIDGE WELLS HOSPITAL;67;58;0.8656716;48;0.8275862;24;0.4137931;24;1.0;26;24;0.9230769;19;0.7916667;11;0.4583333;11;1;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;41;34;0.8292683;29;0.8529412;13;0.3823529;13;1;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NT333;SPIRE WASHINGTON HOSPITAL;513;136;0.2651072;94;0.6911765;106;0.7794118;85;0.8018868;205;55;0.2682927;38;0.6909091;43;0.7818182;32;0.744186;205;38;0.1853659;38;1;27;0.7105263;22;0.8148148;0;0;0;0;0;0;0;0;0;308;81;0.262987;56;0.691358;63;0.7777778;53;0.8412698;302;*;*;*;*;*;*;*;0.8780488;6;*;*;*;*;*;*;0;*;2016/17
NT333;SPIRE WASHINGTON HOSPITAL;487;293;0.6016427;241;0.8225256;123;0.4197952;123;1.0;193;121;0.626943;100;0.8264463;54;0.446281;54;1;193;100;0.5181347;100;1;47;0.47;47;1;0;0;0;0;0;0;0;0;0;294;172;0.585034;141;0.8197674;69;0.4011628;69;1;287;*;*;*;*;*;0.4142857;*;1;7;*;*;*;*;0;*;0;*;2017/18
NT333;SPIRE WASHINGTON HOSPITAL;548;579;10.565.693;454;0.7841105;285;0.492228;285;1.0;237;259;1.092.827;207;0.7992278;136;0.5250965;136;1;237;207;0.8734177;207;1;116;0.5603865;116;1;0;0;0;0;0;0;0;0;0;311;320;10.289.389;247;0.771875;149;0.465625;149;1;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NT313;SPIRE WELLESLEY HOSPITAL;359;355;0.9888579;333;0.9380282;217;0.6112676;178;0.8202765;135;134;0.9925926;126;0.9402985;81;0.6044776;72;0.8888889;*;*;*;*;*;78;*;69;*;*;*;*;*;*;0;*;0;*;224;221;0.9866071;207;0.9366516;136;0.6153846;106;0.7794118;217;*;*;*;*;*;*;*;*;7;*;*;*;*;*;*;*;*;2016/17
NT313;SPIRE WELLESLEY HOSPITAL;373;269;0.7211796;235;0.8736059;106;0.394052;106;1.0;154;110;0.7142857;96;0.8727273;41;0.3727273;41;1;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;219;159;0.7260274;139;0.8742138;65;0.408805;65;1;*;139;0.6495327;*;1;62;0.4460432;62;1;*;0;*;0;0;0;0;0;0;2017/18
NT313;SPIRE WELLESLEY HOSPITAL;348;266;0.7643678;226;0.8496241;117;0.4398496;117;1.0;130;104;0.8;85;0.8173077;43;0.4134615;43;1;130;85;0.6538462;85;1;35;0.4117647;35;1;0;0;0;0;0;0;0;0;0;218;162;0.7431193;141;0.8703704;74;0.4567901;74;1;211;*;*;*;*;*;*;*;*;7;*;*;*;*;*;*;*;*;2018/19
NT338;SPIRE YALE HOSPITAL;0;12;0.0;0;0.0;2;0.1666667;2;1.0;0;*;*;0;*;*;*;*;*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;*;12;*;0;0;2;0.1666667;2;1;*;0;*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2016/17
NT338;SPIRE YALE HOSPITAL;0;0;0.0;0;0.0;0;0.0;0;0.0;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;*;*;*;0;*;0;*;0;*;*;0;*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2017/18
NVC18;SPRINGFIELD HOSPITAL;580;683;11.775.862;576;0.8433382;682;0.9985359;553;0.8108504;273;296;10.842.491;269;0.9087838;296;1;246;0.8310811;267;*;*;*;*;*;*;*;*;6;*;*;*;*;*;*;*;*;307;387;12.605.863;307;0.7932817;386;0.997416;307;0.7953368;300;297;0.99;297;1;297;1;250;0.8417508;7;10;14.285.714;10;1;10;1;6;0.6;2016/17
NVC18;SPRINGFIELD HOSPITAL;655;770;11.755.725;701;0.9103896;768;0.9974026;591;0.7695313;272;308;11.323.529;287;0.9318182;308;1;242;0.7857143;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;383;462;12.062.663;414;0.8961039;460;0.995671;349;0.7586957;372;406;10.913.978;406;1;406;1;329;0.8103448;11;8;0.7272727;8;1;8;1;5;0.625;2017/18
NVC18;SPRINGFIELD HOSPITAL;812;846;10.418.719;764;0.9030733;844;0.9976359;643;0.7618483;358;371;10.363.128;339;0.9137466;371;1;291;0.7843666;348;328;0.9425287;328;1;328;1;263;0.8018293;10;11;1.1;11;1;11;1;9;0.8181818;454;475;10.462.555;425;0.8947368;473;0.9957895;352;0.744186;445;417;0.9370787;417;1;416;0.9976019;326;0.7836538;9;8;0.8888889;8;1;8;1;6;0.75;2018/19
RJ7;ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST;58;49;0.8448276;29;0.5918367;44;0.8979592;30;0.6818182;37;27;0.7297297;20;0.7407407;27;1;20;0.7407407;19;8;0.4210526;8;1;8;1;7;0.875;18;12;0.6666667;12;1;12;1;9;0.75;21;22;1.047.619;9;0.4090909;17;0.7727273;10;0.5882353;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2016/17
RJ7;ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST;63;28;0.4444444;15;0.5357143;28;1.0;14;0.5;33;19;0.5757576;12;0.6315789;19;1;10;0.5263158;16;*;*;*;*;*;*;*;*;17;*;*;*;*;*;*;*;*;30;9;0.3;3;0.3333333;9;1;4;0.4444444;24;*;*;*;*;*;*;*;*;6;0;0;0;0;0;0;0;0;2017/18
RJ7;ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST;58;30;0.5172414;13;0.4333333;29;0.9666667;11;0.3793103;37;18;0.4864865;9;0.5;18;1;8;0.4444444;15;*;*;*;*;*;*;*;*;22;*;*;*;*;*;*;*;*;21;12;0.5714286;4;0.3333333;11;0.9166667;3;0.2727273;9;*;*;*;*;*;*;*;*;12;*;*;*;*;*;*;0;*;2018/19
RBN;ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST;783;593;0.7573436;548;0.9241147;589;0.9932546;435;0.7385399;326;240;0.7361963;225;0.9375;238;0.9916667;170;0.7142857;292;213;0.7294521;213;1;212;0.9953052;154;0.7264151;34;12;0.3529412;12;1;12;1;6;0.5;457;353;0.7724289;323;0.9150142;351;0.9943343;265;0.7549858;426;310;0.7276995;310;1;310;1;240;0.7741935;31;13;0.4193548;13;1;13;1;8;0.6153846;2016/17
RBN;ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST;719;620;0.8623088;587;0.9467742;615;0.9919355;441;0.7170732;293;268;0.9146758;251;0.9365672;266;0.9925373;190;0.7142857;264;232;0.8787879;232;1;231;0.9956897;167;0.7229437;29;19;0.6551724;19;1;19;1;13;0.6842105;426;352;0.8262911;336;0.9545455;349;0.9914773;251;0.7191977;402;320;0.7960199;320;1;318;0.99375;232;0.7295597;24;16;0.6666667;16;1;16;1;11;0.6875;2017/18
RBN;ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST;748;633;0.8462567;606;0.957346;626;0.9889415;436;0.6964856;338;277;0.8195266;266;0.9602888;272;0.9819495;192;0.7058824;309;254;0.8220065;254;1;254;1;183;0.7204724;29;12;0.4137931;12;1;11;0.9166667;7;0.6363636;410;356;0.8682927;340;0.9550562;354;0.994382;244;0.6892655;380;318;0.8368421;318;1;318;1;223;0.7012579;30;22;0.7333333;22;1;22;1;15;0.6818182;2018/19
NTE02;ST HUGH'S HOSPITAL;570;426;0.7473684;378;0.8873239;423;0.9929577;357;0.8439716;245;187;0.7632653;166;0.8877005;187;1;163;0.8716578;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;325;239;0.7353846;212;0.8870293;236;0.9874477;194;0.8220339;305;201;0.6590164;201;1;200;0.9950249;166;0.83;20;11;0.55;11;1;11;1;10;0.9090909;2016/17
NTE02;ST HUGH'S HOSPITAL;606;563;0.9290429;483;0.8579041;563;1.0;458;0.8134991;256;257;10.039.063;210;0.8171206;257;1;204;0.7937743;*;210;*;210;1;210;1;184;0.8761905;*;0;*;0;0;0;0;0;0;350;306;0.8742857;273;0.8921569;306;1;254;0.8300654;339;267;0.7876106;267;1;267;1;227;0.8501873;11;6;0.5454545;6;1;6;1;6;1;2017/18
NTE02;ST HUGH'S HOSPITAL;602;601;0.9983389;518;0.8618968;596;0.9916805;462;0.7751678;268;267;0.9962687;228;0.8539326;266;0.9962547;206;0.7744361;*;*;*;*;*;*;*;191;*;*;*;*;*;*;*;*;0;*;334;334;1;290;0.8682635;330;0.988024;256;0.7757576;324;281;0.867284;281;1;278;0.9893238;232;0.8345324;10;9;0.9;9;1;9;1;3;0.3333333;2018/19
NHW01;STANDARD HEALTH LTD HQ;20;0;0.0;0;0.0;0;0.0;0;0.0;11;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2016/17
NHW01;STANDARD HEALTH LTD HQ;30;0;0.0;0;0.0;0;0.0;0;0.0;17;0;0;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2017/18
RWJ;STOCKPORT NHS FOUNDATION TRUST;802;799;0.9962594;489;0.612015;798;0.9987484;556;0.6967419;425;411;0.9670588;291;0.7080292;410;0.9975669;286;0.697561;400;274;0.685;274;1;274;1;213;0.7773723;25;17;0.68;17;1;17;1;12;0.7058824;377;388;10.291.777;198;0.5103093;388;1;270;0.6958763;353;185;0.5240793;185;1;185;1;148;0.8;24;13;0.5416667;13;1;13;1;9;0.6923077;2016/17
RWJ;STOCKPORT NHS FOUNDATION TRUST;691;726;10.506.512;460;0.6336088;715;0.9848485;421;0.5888112;360;383;10.638.889;246;0.6422977;377;0.9843342;218;0.5782493;346;239;0.6907514;239;1;236;0.9874477;175;0.7415254;14;7;0.5;7;1;7;1;5;0.7142857;331;343;10.362.538;214;0.6239067;338;0.9854227;203;0.6005917;321;*;*;*;*;*;*;*;*;10;*;*;*;*;*;*;*;*;2017/18
RWJ;STOCKPORT NHS FOUNDATION TRUST;904;682;0.7544248;531;0.7785924;678;0.9941349;473;0.6976401;474;332;0.7004219;262;0.7891566;331;0.996988;226;0.6827795;455;252;0.5538462;252;1;251;0.9960317;200;0.7968127;19;10;0.5263158;10;1;10;1;6;0.6;430;350;0.8139535;269;0.7685714;347;0.9914286;247;0.7118156;410;257;0.6268293;257;1;256;0.9961089;208;0.8125;20;12;0.6;12;1;11;0.9166667;8;0.7272727;2018/19
RTP;SURREY AND SUSSEX HEALTHCARE NHS TRUST;430;351;0.8162791;205;0.5840456;349;0.994302;233;0.6676218;223;172;0.7713004;96;0.5581395;172;1;118;0.6860465;206;*;*;*;*;*;*;74;*;17;*;*;*;*;*;*;0;*;207;179;0.8647343;109;0.6089385;177;0.9888268;115;0.6497175;193;*;*;*;*;*;*;*;*;14;*;*;*;*;*;*;*;*;2016/17
RTP;SURREY AND SUSSEX HEALTHCARE NHS TRUST;436;348;0.7981651;264;0.7586207;348;1.0;220;0.6321839;229;151;0.6593886;112;0.7417219;151;1;92;0.6092715;207;99;0.4782609;99;1;99;1;69;0.6969697;22;13;0.5909091;13;1;13;1;9;0.6923077;207;197;0.9516908;152;0.7715736;197;1;128;0.6497462;197;*;*;*;*;*;*;*;*;10;*;*;*;*;*;*;*;*;2017/18
RTP;SURREY AND SUSSEX HEALTHCARE NHS TRUST;354;385;10.875.706;273;0.7090909;379;0.9844156;222;0.585752;167;184;11.017.964;132;0.7173913;181;0.9836957;104;0.5745856;157;*;*;*;*;*;*;*;*;10;*;*;*;*;*;*;*;*;187;201;10.748.663;141;0.7014925;198;0.9850746;118;0.5959596;179;*;*;*;*;*;*;*;*;8;*;*;*;*;*;*;*;*;2018/19
AJX;SUSSEX MSK PARTNERSHIP 2;404;0;0.0;0;0.0;0;0.0;0;0.0;184;0;0;0;0;0;0;0;0;166;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;220;0;0;0;0;0;0;0;0;203;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;2016/17
AJX;SUSSEX MSK PARTNERSHIP 2;351;0;0.0;0;0.0;0;0.0;0;0.0;146;0;0;0;0;0;0;0;0;135;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;205;0;0;0;0;0;0;0;0;192;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;2017/18
AJX;SUSSEX MSK PARTNERSHIP 2;111;0;0.0;0;0.0;0;0.0;0;0.0;55;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;*;0;0;*;0;0;0;0;0;*;0;*;0;0;0;0;0;0;2018/19
RMP;TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST;430;331;0.7697674;262;0.7915408;331;1.0;224;0.6767372;149;112;0.7516779;93;0.8303571;112;1;79;0.7053571;*;93;*;93;1;93;1;73;0.7849462;*;0;*;0;0;0;0;0;0;281;219;0.7793594;169;0.7716895;219;1;145;0.6621005;271;*;*;*;*;*;*;*;*;10;*;*;*;*;*;*;*;*;2016/17
RMP;TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST;406;306;0.7536946;198;0.6470588;304;0.9934641;173;0.5690789;157;129;0.8216561;82;0.6356589;128;0.9922481;79;0.6171875;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;249;177;0.7108434;116;0.6553672;176;0.9943503;94;0.5340909;238;*;*;*;*;*;*;*;*;11;*;*;*;*;*;*;*;*;2017/18
RMP;TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST;517;454;0.8781431;243;0.5352423;451;0.9933921;233;0.5166297;186;205;11.021.505;113;0.5512195;204;0.995122;108;0.5294118;186;113;0.6075269;113;1;113;1;82;0.7256637;0;0;0;0;0;0;0;0;0;331;249;0.7522659;130;0.5220884;247;0.9919679;125;0.5060729;317;*;*;*;*;*;*;*;*;14;*;*;*;*;*;*;*;*;2018/19
RBA;TAUNTON AND SOMERSET NHS FOUNDATION TRUST;622;336;0.5401929;310;0.922619;336;1.0;285;0.8482143;343;172;0.5014577;158;0.9186047;172;1;141;0.8197674;291;139;0.4776632;139;1;139;1;115;0.8273381;52;19;0.3653846;19;1;19;1;18;0.9473684;279;164;0.5878136;152;0.9268293;164;1;144;0.8780488;264;*;*;*;*;*;*;*;*;15;*;*;*;*;*;*;*;*;2016/17
RBA;TAUNTON AND SOMERSET NHS FOUNDATION TRUST;618;201;0.3252427;184;0.9154229;201;1.0;157;0.7810945;331;92;0.2779456;85;0.923913;92;1;74;0.8043478;284;77;0.2711268;77;1;77;1;65;0.8441558;47;8;0.1702128;8;1;8;1;6;0.75;287;109;0.3797909;99;0.9082569;109;1;83;0.7614679;267;*;*;*;*;*;*;*;*;20;*;*;*;*;*;*;*;*;2017/18
RBA;TAUNTON AND SOMERSET NHS FOUNDATION TRUST;472;85;0.1800847;76;0.8941176;85;1.0;67;0.7882353;257;47;0.1828794;41;0.8723404;47;1;38;0.8085106;209;*;*;*;*;*;*;*;*;48;*;*;*;*;*;*;*;*;215;38;0.1767442;35;0.9210526;38;1;29;0.7631579;198;*;*;*;*;*;*;*;0.8529412;17;*;*;*;*;*;*;0;*;2018/19
NVC0R;TEES VALLEY HOSPITAL;120;58;0.4833333;51;0.8793103;58;1.0;40;0.6896552;50;25;0.5;24;0.96;25;1;18;0.72;50;24;0.48;24;1;24;1;18;0.75;0;0;0;0;0;0;0;0;0;70;33;0.4714286;27;0.8181818;33;1;22;0.6666667;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NVC35;TEES VALLEY TREATMENT CENTRE;0;0;0.0;0;0.0;0;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018/19
NVC02;THE BERKSHIRE INDEPENDENT HOSPITAL;105;107;10.190.476;94;0.8785047;106;0.9906542;93;0.8773585;37;35;0.9459459;35;1;35;1;28;0.8;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;68;72;10.588.235;59;0.8194444;71;0.9861111;65;0.915493;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2016/17
NVC02;THE BERKSHIRE INDEPENDENT HOSPITAL;114;160;14.035.088;140;0.875;160;1.0;105;0.65625;51;74;14.509.804;68;0.9189189;74;1;45;0.6081081;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;63;86;13.650.794;72;0.8372093;86;1;60;0.6976744;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
NVC02;THE BERKSHIRE INDEPENDENT HOSPITAL;166;236;14.216.867;215;0.9110169;235;0.9957627;142;0.6042553;81;116;14.320.988;104;0.8965517;116;1;73;0.6293103;*;*;*;*;*;*;*;65;*;*;*;*;*;*;*;*;0;*;85;120;14.117.647;111;0.925;119;0.9916667;69;0.5798319;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
RNA;THE DUDLEY GROUP NHS FOUNDATION TRUST;789;910;11.533.587;762;0.8373626;904;0.9934066;673;0.744469;350;389;11.114.286;342;0.8791774;388;0.9974293;285;0.7345361;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;439;521;11.867.882;420;0.806142;516;0.9904031;388;0.751938;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2016/17
RNA;THE DUDLEY GROUP NHS FOUNDATION TRUST;873;1017;11.649.485;830;0.8161259;1011;0.9941003;678;0.6706231;353;405;11.473.088;337;0.8320988;400;0.9876543;264;0.66;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;520;612;11.769.231;493;0.8055556;611;0.998366;414;0.6775777;511;*;*;*;*;*;*;*;*;9;*;*;*;*;*;*;*;*;2017/18
RNA;THE DUDLEY GROUP NHS FOUNDATION TRUST;668;804;12.035.928;641;0.7972637;801;0.9962687;480;0.5992509;323;382;11.826.625;315;0.8246073;381;0.9973822;230;0.6036745;*;*;*;*;*;*;*;207;*;*;*;*;*;*;*;*;0;*;345;422;12.231.884;326;0.7725118;420;0.9952607;250;0.5952381;337;*;*;*;*;*;*;*;*;8;*;*;*;*;*;*;*;*;2018/19
RAS;THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST;732;633;0.8647541;524;0.8278041;630;0.9952607;459;0.7285714;287;224;0.7804878;185;0.8258929;224;1;171;0.7633929;248;177;0.7137097;177;1;177;1;144;0.8135593;39;8;0.2051282;8;1;8;1;6;0.75;445;409;0.9191011;339;0.8288509;406;0.992665;288;0.7093596;423;327;0.7730496;327;1;325;0.9938838;240;0.7384615;22;12;0.5454545;12;1;12;1;11;0.9166667;2016/17
RAS;THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST;771;672;0.8715953;526;0.7827381;665;0.9895833;419;0.6300752;280;232;0.8285714;180;0.7758621;228;0.9827586;148;0.6491228;263;*;*;*;*;*;*;*;*;17;*;*;*;*;*;*;*;*;491;440;0.8961303;346;0.7863636;437;0.9931818;271;0.6201373;457;333;0.7286652;333;1;332;0.996997;239;0.7198795;34;13;0.3823529;13;1;13;1;9;0.6923077;2017/18
RAS;THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST;787;731;0.9288437;570;0.7797538;725;0.9917921;448;0.617931;303;280;0.9240924;223;0.7964286;275;0.9821429;184;0.6690909;284;214;0.7535211;214;1;210;0.9813084;158;0.752381;19;9;0.4736842;9;1;9;1;6;0.6666667;484;451;0.9318182;347;0.7694013;450;0.9977827;264;0.5866667;451;325;0.7206208;325;1;324;0.9969231;221;0.6820988;33;22;0.6666667;22;1;22;1;12;0.5454545;2018/19
NXM01;THE HORDER CENTRE - ST JOHNS ROAD;2077;2145;10.327.395;1917;0.8937063;2115;0.986014;1794;0.848227;979;1011;10.326.864;924;0.9139466;996;0.9851632;845;0.8483936;896;884;0.9866071;884;1;879;0.9943439;769;0.8748578;83;40;0.4819277;40;1;40;1;33;0.825;1098;1134;10.327.869;993;0.8756614;1119;0.9867725;949;0.8480786;1066;971;0.9108818;971;1;967;0.9958805;861;0.8903826;32;22;0.6875;22;1;22;1;20;0.9090909;2016/17
NXM01;THE HORDER CENTRE - ST JOHNS ROAD;1804;1544;0.8558758;1408;0.9119171;1468;0.9507772;1243;0.8467302;877;732;0.8346636;678;0.9262295;700;0.9562842;599;0.8557143;790;620;0.7848101;620;1;605;0.9758065;531;0.877686;87;58;0.6666667;58;1;57;0.9827586;51;0.8947368;927;812;0.8759439;730;0.8990148;768;0.9458128;644;0.8385417;889;705;0.7930259;705;1;691;0.9801418;598;0.8654124;38;25;0.6578947;25;1;24;0.96;18;0.75;2017/18
